DOEID,House,School,Income,Climate,UR,TOTSQFT,HDD65,CDD65,KWH,TOTALBTUSPH,TOTALBTUCOL,STOVEN,OVEN
2677,Single-Family Detached,Bachlor's,110000,"Very Cold/
Cold",U,3821,5321,725,17770,88712,11666,1,0
2678,Mobile Home,Some k-12,8750,Hot-Humid,U,1296,531,3544,14311,3292,8363,1,0
2681,Single-Family Detached,Some College,110000,Hot-Humid,R,1500,1064,2550,16923,6127,11154,1,0
2682,Single-Family Detached,High School,42500,Mixed-Humid,U,3059,5465,626,5504,110016,1096,2,0
2683,Single-Family Detached,Some College,27500,"Very Cold/
Cold",U,3564,6564,395,7978,52702,0,1,0
2684,Single-Family Detached,High School,42500,Mixed-Humid,U,1144,3958,1253,10666,59758,4425,1,0
2685,Single-Family Attached,Associate's,47500,"Very Cold/
Cold",U,1177,6539,474,17559,16805,1408,1,0
2687,Single-Family Detached,High School,27500,"Very Cold/
Cold",U,2523,5987,574,3545,87804,571,1,0
2688,Single-Family Detached,High School,37500,Hot-Humid,U,2124,2283,2572,5575,29735,8041,1,0
2689,Single-Family Detached,Associate's,77500,Hot-Humid,U,2066,1823,2988,14529,24288,16932,1,0
2690,Single-Family Detached,Master's,130000,"Very Cold/
Cold",U,2296,7175,475,2951,48399,1056,1,0
2691,Mobile Home,High School,27500,"Hot-Dry/
Mixed-Dry",R,644,979,4365,13696,4736,8753,1,0
2693,Single-Family Detached,Some College,27500,Mixed-Humid,R,1680,1873,2559,9275,32465,5898,1,0
2694,Single-Family Detached,Some College,130000,"Very Cold/
Cold",R,3424,6136,343,10919,59030,3001,1,0
2695,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,6023,5100,817,7660,88674,5888,1,1
2696,Single-Family Detached,Some College,62500,Hot-Humid,R,3000,1456,2717,19412,4667,17992,0,1
2697,Single-Family Detached,Some College,47500,"Very Cold/
Cold",U,3752,8818,185,7210,91133,130,1,0
2698,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,2245,4852,847,20390,73876,7240,1,0
2699,Single-Family Detached,High School,47500,Mixed-Humid,R,3100,5546,828,16394,13267,4414,1,0
2701,Single-Family Detached,Bachlor's,22500,Mixed-Humid,R,1428,3829,1564,8901,6118,8386,1,0
2702,Single-Family Detached,High School,87500,"Very Cold/
Cold",R,1916,8644,336,6283,58324,590,1,0
2703,Single-Family Detached,Bachlor's,47500,Mixed-Humid,U,2516,3116,1682,17035,27799,12280,1,0
2705,Single-Family Detached,High School,47500,Mixed-Humid,U,2193,3331,1812,11534,48553,9055,1,0
2707,Single-Family Detached,Bachlor's,130000,Hot-Humid,U,5305,1615,3346,9727,24775,15737,0,1
2708,Single-Family Detached,Bachlor's,130000,Marine,U,3954,2849,101,8903,31494,0,1,0
2709,Single-Family Detached,Some College,62500,"Very Cold/
Cold",U,2201,5931,663,10306,40637,0,1,0
2710,Single-Family Detached,Bachlor's,62500,"Very Cold/
Cold",R,2304,7194,186,14885,32696,370,1,0
2712,Single-Family Detached,Bachlor's,130000,Hot-Humid,R,2592,1227,2719,9612,15617,13070,1,0
2713,Single-Family Detached,Master's,130000,"Very Cold/
Cold",U,4224,4987,807,11921,67956,6350,0,2
2714,Single-Family Detached,Some k-12,8750,"Very Cold/
Cold",U,390,6174,505,2333,2773,84,1,0
2715,Single-Family Detached,Bachlor's,47500,"Very Cold/
Cold",R,3133,7315,295,17527,23610,0,1,0
2716,Single-Family Attached,Some College,42500,"Very Cold/
Cold",R,3032,6780,301,11745,15903,1042,1,0
2719,Single-Family Detached,High School,17500,Mixed-Humid,R,1456,3554,1507,35487,25277,7892,0,2
2720,Single-Family Detached,Associate's,67500,"Very Cold/
Cold",U,1683,6149,791,12522,40511,3329,1,0
2724,Single-Family Detached,Some k-12,12500,Mixed-Humid,U,1440,4425,1378,21388,24405,10985,1,0
2725,Single-Family Detached,Some College,47500,"Very Cold/
Cold",U,2980,7722,535,8303,66790,1879,1,0
2726,Single-Family Detached,High School,12500,Mixed-Humid,U,1056,3156,1286,9552,29549,8278,1,0
2727,Single-Family Detached,Some College,32500,"Very Cold/
Cold",U,2200,6072,603,18197,56483,3315,1,0
2728,Single-Family Detached,Some College,87500,Mixed-Humid,U,1904,3516,1469,29363,57904,11820,1,0
2729,Single-Family Detached,Some College,22500,"Very Cold/
Cold",U,1012,7248,347,6360,73904,251,1,0
2730,Single-Family Detached,Bachlor's,92500,"Very Cold/
Cold",U,3774,6568,358,11955,13030,1520,1,0
2731,Single-Family Detached,Some k-12,12500,Hot-Humid,U,1296,646,3785,12739,2387,3766,1,0
2732,Single-Family Attached,High School,27500,Mixed-Humid,U,1517,4018,1484,7615,32603,8477,1,0
2733,Single-Family Detached,Master's,130000,"Very Cold/
Cold",U,4500,5545,635,13640,158940,1694,1,0
2734,Single-Family Detached,Some College,67500,Hot-Humid,U,2880,543,3733,4936,1176,7627,1,0
2736,Single-Family Detached,Associate's,110000,Marine,U,1344,2266,642,5846,13447,2282,1,0
2737,Single-Family Detached,Some k-12,110000,"Very Cold/
Cold",U,3143,7069,323,10542,61906,3550,1,0
2738,Single-Family Attached,Bachlor's,130000,"Very Cold/
Cold",U,2790,6670,398,12611,51005,4649,1,0
2739,Single-Family Detached,Some College,32500,Mixed-Humid,U,1700,4265,1503,11641,37022,5881,1,0
2741,Single-Family Detached,High School,52500,"Very Cold/
Cold",U,2223,6470,554,9353,100268,2601,1,0
2744,Single-Family Detached,Bachlor's,12500,"Very Cold/
Cold",R,1053,8336,54,6779,12720,0,1,0
2745,Single-Family Detached,Some College,17500,"Very Cold/
Cold",R,2772,7590,503,17403,16126,3191,1,0
2746,Single-Family Detached,Some College,57500,"Very Cold/
Cold",U,2700,6782,301,13207,102631,772,1,0
2748,Single-Family Detached,Master's,52500,"Hot-Dry/
Mixed-Dry",U,3217,1946,2547,4662,6344,1216,0,2
2751,Single-Family Detached,Some College,110000,"Very Cold/
Cold",U,3630,7861,310,5724,101474,0,1,0
2753,Mobile Home,High School,3750,"Very Cold/
Cold",R,980,9073,212,7685,55634,67,1,0
2756,Single-Family Detached,Bachlor's,37500,Mixed-Humid,U,4063,5007,882,10379,39463,7755,1,0
2757,Single-Family Detached,Some k-12,8750,Hot-Humid,U,1056,586,3700,12742,4074,10781,1,0
2759,Single-Family Attached,High School,32500,"Hot-Dry/
Mixed-Dry",U,1794,1055,4344,10730,3335,15896,1,0
2760,Single-Family Detached,Associate's,130000,"Very Cold/
Cold",R,5032,7004,377,10388,36734,1010,1,0
2762,Single-Family Detached,No schooling,47500,"Very Cold/
Cold",U,2142,6173,916,29729,47619,13712,2,0
2763,Single-Family Detached,High School,47500,"Very Cold/
Cold",U,2938,7445,681,4969,55719,2148,1,0
2764,Single-Family Detached,Some College,130000,Marine,U,2854,1572,497,3973,19907,0,1,0
2765,Single-Family Detached,Some College,87500,Marine,U,2436,4802,361,8267,53109,289,1,0
2766,Single-Family Detached,High School,52500,"Hot-Dry/
Mixed-Dry",U,580,1373,1967,3672,19253,4351,1,0
2768,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,2340,7464,334,4936,64297,0,1,0
2769,Single-Family Detached,Some k-12,12500,Mixed-Humid,R,1280,4145,1216,8043,42735,712,1,0
2770,Single-Family Detached,High School,67500,"Very Cold/
Cold",U,6633,5831,521,12663,38855,867,1,0
2771,Single-Family Detached,High School,57500,"Very Cold/
Cold",R,4600,8673,106,9126,0,214,1,0
2772,Single-Family Detached,Bachlor's,130000,"Hot-Dry/
Mixed-Dry",U,3640,1531,2064,12910,31753,7513,1,0
2773,Single-Family Detached,Master's,87500,Mixed-Humid,U,2362,4179,1226,13927,21273,7936,1,0
2776,Single-Family Detached,Some College,67500,"Very Cold/
Cold",U,3168,8857,202,16355,35122,1237,1,0
2777,Single-Family Attached,Professional,57500,Hot-Humid,R,690,1162,2837,6821,2730,4888,1,0
2780,Single-Family Detached,Professional,130000,"Very Cold/
Cold",U,6476,7030,314,9448,147953,216,1,0
2781,Single-Family Detached,High School,87500,Hot-Humid,R,5130,1242,3511,17874,5500,16902,1,0
2782,Single-Family Detached,Some College,47500,Mixed-Humid,U,1175,5446,910,18484,68909,4722,1,0
2784,Single-Family Detached,High School,12500,"Hot-Dry/
Mixed-Dry",U,2344,960,4629,9490,18633,11935,1,0
2785,Single-Family Detached,Bachlor's,82500,"Very Cold/
Cold",U,4360,6961,346,10182,58202,455,1,0
2786,Single-Family Detached,Associate's,57500,Mixed-Humid,U,2516,4888,1296,7542,63160,5924,1,0
2787,Single-Family Detached,Bachlor's,8750,Mixed-Humid,U,1224,3475,1737,8782,25238,2671,1,0
2789,Single-Family Detached,Some College,22500,Hot-Humid,U,2028,906,2830,10253,3476,4772,1,0
2793,Single-Family Detached,Associate's,32500,"Hot-Dry/
Mixed-Dry",U,1509,4033,472,7419,46136,1297,1,0
2795,Single-Family Detached,Some College,62500,"Hot-Dry/
Mixed-Dry",U,2240,2255,1544,3768,37632,3595,1,0
2796,Mobile Home,High School,62500,Mixed-Humid,R,980,4288,750,12521,10416,0,0,2
2798,Single-Family Detached,High School,47500,"Very Cold/
Cold",U,2323,6451,511,12989,30151,2293,1,0
2799,Single-Family Detached,Some College,110000,"Very Cold/
Cold",U,4231,6725,398,11215,82099,1798,2,0
2800,Single-Family Detached,Some College,22500,"Very Cold/
Cold",U,1844,7582,479,3709,69175,379,1,1
2802,Single-Family Detached,Some College,52500,"Very Cold/
Cold",U,2856,6518,378,17891,47303,4382,1,0
2803,Mobile Home,Some College,17500,Hot-Humid,R,784,650,3703,12683,3290,19611,1,0
2804,Single-Family Detached,Master's,130000,"Very Cold/
Cold",U,7571,5507,698,17992,66457,13709,1,0
2805,Single-Family Attached,High School,37500,Mixed-Humid,U,1428,4062,1542,4144,46098,2215,1,0
2806,Mobile Home,Some College,57500,"Very Cold/
Cold",U,980,10272,9,5616,79175,0,1,0
2808,Single-Family Detached,High School,32500,Hot-Humid,U,2310,2239,2588,18299,7452,16553,1,0
2810,Single-Family Detached,High School,52500,Hot-Humid,U,1176,1346,2731,19146,7017,5173,1,0
2811,Single-Family Detached,High School,27500,"Very Cold/
Cold",U,2208,5874,538,9676,32646,1435,2,0
2812,Single-Family Detached,Bachlor's,6250,Hot-Humid,U,1200,1647,2615,9970,14798,11148,1,0
2813,Single-Family Attached,High School,8750,"Very Cold/
Cold",U,2280,5250,919,7912,58093,5035,0,2
2816,Single-Family Detached,Master's,1250,"Very Cold/
Cold",U,5092,7161,406,6180,71877,0,1,0
2817,Single-Family Detached,Bachlor's,97500,"Very Cold/
Cold",U,2103,5410,749,10511,72464,2039,1,0
2818,Single-Family Detached,Some k-12,27500,Hot-Humid,R,1800,1346,4054,14283,6339,7229,1,0
2819,Single-Family Detached,Some College,3750,"Hot-Dry/
Mixed-Dry",U,2206,2435,1763,5042,14670,2403,1,0
2820,Single-Family Detached,High School,57500,Mixed-Humid,U,2250,3002,1901,13983,12007,9468,1,0
2824,Single-Family Detached,High School,52500,"Very Cold/
Cold",U,1312,7036,622,2539,46834,0,1,0
2825,Single-Family Detached,Bachlor's,110000,Marine,R,2564,2715,155,9213,49184,358,1,0
2826,Single-Family Detached,Bachlor's,67500,"Very Cold/
Cold",U,4149,5886,494,9085,48992,679,0,2
2827,Single-Family Detached,Master's,130000,Mixed-Humid,U,5694,4882,1145,13603,35021,14115,0,2
2828,Single-Family Detached,Some College,130000,"Hot-Dry/
Mixed-Dry",R,5460,1142,1477,12637,20713,7299,0,2
2829,Single-Family Detached,High School,57500,"Very Cold/
Cold",U,1800,5605,741,12887,22875,3329,1,0
2830,Single-Family Detached,Some College,110000,Mixed-Humid,R,5814,6390,682,26269,185147,6155,2,0
2832,Mobile Home,High School,37500,"Very Cold/
Cold",R,706,6616,396,5793,54407,1489,1,0
2833,Mobile Home,Some College,12500,"Very Cold/
Cold",U,1216,5713,788,7236,53425,3019,1,0
2836,Single-Family Detached,Some k-12,22500,Hot-Humid,U,1913,871,4023,9009,24223,8614,1,0
2837,Single-Family Detached,Bachlor's,57500,"Very Cold/
Cold",U,2880,5494,452,9359,5300,3549,1,0
2838,Single-Family Detached,Master's,130000,Mixed-Humid,R,2137,3184,1899,12568,8013,8213,1,0
2839,Single-Family Attached,Bachlor's,130000,"Hot-Dry/
Mixed-Dry",U,1447,1125,1588,6721,15335,5984,1,0
2842,Mobile Home,Some College,52500,Hot-Humid,U,1440,2537,2405,20049,8100,10782,1,0
2843,Single-Family Detached,High School,22500,Mixed-Humid,U,997,5385,927,12421,20180,1014,1,0
2845,Single-Family Detached,High School,27500,Mixed-Humid,U,1600,3146,1666,5534,28722,1589,1,0
2846,Single-Family Detached,Professional,110000,Hot-Humid,U,2368,1265,3445,9305,4594,13076,1,0
2847,Single-Family Attached,Bachlor's,130000,Marine,U,747,2690,698,6362,15430,3436,1,0
2848,Single-Family Detached,High School,57500,Hot-Humid,U,2228,1224,3624,12436,19334,16336,1,0
2849,Single-Family Detached,Some k-12,22500,Hot-Humid,U,1962,2426,1689,15825,29461,9381,1,0
2850,Mobile Home,Bachlor's,27500,"Very Cold/
Cold",U,1280,7964,330,10438,62833,1274,1,0
2851,Single-Family Detached,Some College,97500,"Very Cold/
Cold",R,3376,6658,400,4397,87819,0,1,0
2852,Single-Family Detached,Associate's,110000,Hot-Humid,U,2804,2022,2199,11331,3031,9988,1,0
2853,Single-Family Attached,No schooling,12500,Mixed-Humid,U,2035,4810,860,9094,4169,1724,1,0
2855,Single-Family Detached,Bachlor's,37500,"Hot-Dry/
Mixed-Dry",U,1490,1190,1904,5752,29691,4378,1,0
2856,Single-Family Detached,Associate's,37500,"Very Cold/
Cold",U,1936,5773,687,7635,51094,0,1,0
2859,Single-Family Detached,Master's,130000,Mixed-Humid,U,1760,3217,1669,9707,40745,7704,1,0
2860,Single-Family Attached,Professional,97500,Mixed-Humid,U,2400,5193,967,17128,87409,5409,1,0
2861,Single-Family Detached,Professional,72500,"Very Cold/
Cold",U,2377,11642,0,10557,107437,0,1,0
2863,Single-Family Detached,Doctorate,62500,Hot-Humid,U,2208,1832,2973,5326,20318,7729,1,0
2864,Single-Family Detached,Some College,8750,Hot-Humid,R,2466,2870,1889,9012,37846,10141,1,0
2865,Single-Family Detached,Bachlor's,82500,Hot-Humid,U,1800,568,4644,18636,4788,12857,1,0
2866,Single-Family Detached,High School,22500,"Hot-Dry/
Mixed-Dry",U,1803,1358,1987,8020,14980,3182,1,0
2867,Single-Family Detached,Master's,72500,"Very Cold/
Cold",U,2496,5837,600,6739,6222,351,1,0
2869,Single-Family Detached,Some k-12,17500,Mixed-Humid,R,1055,4200,1354,7117,51786,1019,1,0
2870,Single-Family Detached,Associate's,17500,Mixed-Humid,R,1372,4027,1117,16365,11744,4869,1,0
2871,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,6768,6266,475,30724,20937,9939,2,0
2872,Single-Family Detached,High School,67500,"Very Cold/
Cold",U,4512,5559,677,12910,60673,3871,1,0
2874,Single-Family Detached,High School,32500,Mixed-Humid,U,2496,4265,1503,7947,67964,5290,1,0
2875,Single-Family Detached,Bachlor's,130000,"Hot-Dry/
Mixed-Dry",U,1719,956,1959,6145,4261,2888,1,0
2877,Single-Family Attached,Associate's,57500,"Very Cold/
Cold",U,1496,6371,543,5497,58516,1795,1,0
2878,Single-Family Detached,High School,110000,"Hot-Dry/
Mixed-Dry",U,1860,1958,2532,6833,28342,3829,1,0
2879,Single-Family Detached,High School,8750,"Very Cold/
Cold",U,2626,7366,267,4327,50674,832,1,0
2881,Single-Family Attached,High School,42500,Mixed-Humid,U,1386,4671,1054,5698,40884,854,1,0
2882,Single-Family Detached,Master's,32500,"Hot-Dry/
Mixed-Dry",U,720,2334,1490,3421,53246,2599,1,0
2883,Single-Family Detached,Some College,72500,"Very Cold/
Cold",U,3000,5827,589,7466,101577,3081,2,0
2884,Single-Family Detached,Master's,130000,Mixed-Humid,R,5440,5326,907,31501,27238,17123,0,1
2885,Single-Family Detached,Some College,42500,"Very Cold/
Cold",U,2184,7258,705,7006,70034,3408,1,0
2886,Single-Family Attached,High School,62500,"Very Cold/
Cold",U,1750,6559,449,9140,59330,442,1,0
2888,Single-Family Attached,Some College,67500,Mixed-Humid,U,2090,4851,653,18136,14973,4071,1,0
2889,Single-Family Attached,Bachlor's,87500,Mixed-Humid,R,3795,5457,945,14948,63734,9047,1,0
2890,Single-Family Detached,Associate's,22500,"Very Cold/
Cold",U,1957,6270,845,8602,74226,2277,0,1
2891,Mobile Home,Some k-12,27500,"Very Cold/
Cold",U,670,5732,802,22432,18036,1034,1,0
2892,Mobile Home,High School,77500,"Hot-Dry/
Mixed-Dry",U,1431,2513,2188,12079,5722,4474,1,0
2896,Single-Family Detached,Some College,110000,Hot-Humid,U,1991,2213,2692,17059,30214,16982,1,0
2901,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,4116,7924,474,12946,76917,2225,1,0
2904,Single-Family Detached,Professional,130000,"Very Cold/
Cold",U,2433,5404,590,29209,21651,6130,1,0
2905,Single-Family Detached,Some k-12,8750,Mixed-Humid,U,864,3867,1297,12504,77582,0,1,0
2907,Single-Family Detached,Bachlor's,47500,Mixed-Humid,R,2400,3903,1394,14523,60373,10812,1,0
2910,Single-Family Detached,Master's,130000,Marine,U,2800,4698,494,7130,28777,1387,1,0
2911,Single-Family Detached,Associate's,92500,Hot-Humid,U,1968,2368,2458,7150,23299,8908,1,0
2912,Single-Family Detached,Bachlor's,17500,"Very Cold/
Cold",R,605,7740,274,4840,34398,265,1,0
2913,Single-Family Detached,High School,17500,Mixed-Humid,U,2615,4468,1520,9907,97717,8324,1,0
2914,Mobile Home,High School,1250,"Hot-Dry/
Mixed-Dry",U,1334,1119,1215,3906,14232,1328,0,0
2915,Single-Family Attached,Bachlor's,92500,"Very Cold/
Cold",U,1232,6673,403,4513,47420,542,1,0
2916,Single-Family Detached,Bachlor's,67500,"Very Cold/
Cold",R,4320,6298,243,15685,16689,0,2,1
2917,Single-Family Detached,Some College,32500,Hot-Humid,R,2200,1306,3365,11289,19838,17724,1,0
2920,Single-Family Detached,High School,37500,"Very Cold/
Cold",U,1012,5282,788,21438,16998,3758,1,0
2921,Mobile Home,Some k-12,37500,Mixed-Humid,U,910,4629,723,17149,18593,3356,1,0
2922,Single-Family Detached,High School,67500,Mixed-Humid,R,2100,3509,1517,13398,41230,7892,1,0
2923,Single-Family Detached,No schooling,12500,"Hot-Dry/
Mixed-Dry",U,1161,2654,2149,3172,30141,1910,1,0
2924,Mobile Home,High School,12500,"Hot-Dry/
Mixed-Dry",U,216,1228,779,7658,0,0,1,0
2925,Single-Family Detached,High School,32500,Hot-Humid,U,988,207,4359,21861,3853,15822,1,0
2927,Single-Family Detached,High School,82500,Hot-Humid,U,2002,952,2748,17421,8530,8990,1,0
2928,Single-Family Detached,Some College,37500,Marine,U,1516,2313,615,5123,24572,0,1,0
2931,Single-Family Detached,Some k-12,42500,"Very Cold/
Cold",U,1250,5898,778,13428,11030,405,0,0
2932,Single-Family Detached,Associate's,37500,Mixed-Humid,R,4185,4860,1030,21559,15533,14078,1,0
2933,Single-Family Detached,Associate's,130000,Marine,R,2414,2733,165,4964,32699,0,1,0
2934,Single-Family Detached,Associate's,47500,Marine,R,1207,4819,213,25292,26043,0,1,0
2936,Single-Family Detached,Some College,52500,"Hot-Dry/
Mixed-Dry",U,1723,1738,1450,20445,22165,8510,0,1
2938,Single-Family Detached,Some College,42500,"Very Cold/
Cold",R,4244,6718,572,15039,74158,4244,1,0
2939,Single-Family Detached,High School,47500,"Very Cold/
Cold",R,3255,8555,258,8647,71287,0,1,0
2940,Single-Family Detached,Some k-12,32500,"Very Cold/
Cold",U,1638,5123,833,28349,26630,5305,1,0
2941,Single-Family Detached,Bachlor's,37500,"Very Cold/
Cold",U,2739,7918,285,19728,76782,1174,1,0
2942,Single-Family Detached,High School,22500,"Very Cold/
Cold",R,4968,8550,353,8787,105265,522,1,0
2944,Single-Family Detached,Some College,57500,"Very Cold/
Cold",R,2730,8254,312,13196,56679,936,1,0
2946,Single-Family Detached,Bachlor's,8750,"Hot-Dry/
Mixed-Dry",U,2245,2247,1550,3405,28640,2701,0,0
2947,Single-Family Detached,High School,32500,Marine,U,1400,2685,172,4885,35527,0,1,1
2948,Single-Family Detached,Some k-12,52500,Mixed-Humid,U,2518,4766,1148,14748,12852,4081,1,0
2949,Single-Family Detached,High School,47500,Mixed-Humid,R,2513,4863,1141,22172,2314,2712,1,0
2950,Single-Family Detached,High School,37500,Mixed-Humid,U,2118,3115,1845,10809,6562,8092,1,0
2952,Single-Family Attached,Some k-12,87500,Hot-Humid,U,1494,2254,2629,21863,8751,13341,1,0
2953,Mobile Home,Some College,67500,Hot-Humid,U,840,957,3167,9445,2763,6478,0,1
2956,Single-Family Detached,Professional,130000,"Very Cold/
Cold",U,4817,5785,630,13345,20897,16819,1,0
2957,Single-Family Detached,Master's,8750,"Very Cold/
Cold",U,4882,6516,396,6466,65770,1556,0,2
2960,Single-Family Detached,Associate's,32500,Hot-Humid,U,1890,0,2848,12503,0,12571,1,0
2963,Single-Family Detached,High School,12500,"Hot-Dry/
Mixed-Dry",R,1281,2806,1553,9435,39503,0,1,0
2964,Single-Family Detached,High School,97500,"Very Cold/
Cold",R,2592,7590,188,11751,81708,80,1,0
2965,Single-Family Detached,High School,130000,Mixed-Humid,U,5117,5080,1046,23984,65270,8402,1,1
2966,Single-Family Detached,High School,87500,"Very Cold/
Cold",U,2496,6472,579,5701,49086,2769,2,0
2968,Single-Family Detached,Some k-12,3750,Mixed-Humid,U,3720,4125,1327,29945,21754,17158,1,0
2969,Single-Family Attached,High School,1250,Mixed-Humid,U,4000,5141,959,18905,9626,7449,1,0
2970,Single-Family Detached,High School,110000,Mixed-Humid,R,4640,4761,1173,29077,16712,8947,1,0
2973,Single-Family Detached,Some College,82500,Mixed-Humid,R,2592,4723,1145,18927,50231,4621,1,0
2975,Single-Family Detached,Some College,110000,"Very Cold/
Cold",R,2517,7192,279,7632,37827,403,2,0
2976,Single-Family Detached,Bachlor's,52500,"Very Cold/
Cold",U,3373,6240,579,9303,59299,1342,1,0
2977,Mobile Home,High School,12500,"Very Cold/
Cold",R,780,6699,377,3480,65752,299,0,1
2978,Single-Family Detached,High School,42500,Mixed-Humid,R,1080,4710,1070,14354,66812,0,1,0
2979,Single-Family Detached,Some College,22500,Mixed-Humid,R,2215,3136,1700,15989,10052,10857,1,0
2980,Single-Family Detached,Some College,32500,"Hot-Dry/
Mixed-Dry",R,1365,2705,2201,11614,8837,3470,1,0
2981,Single-Family Attached,Associate's,17500,"Hot-Dry/
Mixed-Dry",U,1581,1180,1246,3789,0,0,1,0
2983,Single-Family Detached,High School,12500,"Hot-Dry/
Mixed-Dry",U,1411,3074,2019,8360,23040,0,0,1
2984,Single-Family Attached,Master's,130000,Mixed-Humid,U,3323,4595,1478,9822,53238,12415,1,0
2986,Single-Family Detached,High School,62500,Mixed-Humid,R,1238,4545,1221,13118,26668,2291,1,0
2989,Single-Family Detached,Bachlor's,87500,"Very Cold/
Cold",U,7696,5961,554,17264,63626,7701,1,0
2990,Single-Family Detached,Some k-12,27500,Hot-Humid,U,750,584,3665,10311,4753,10812,1,0
2993,Single-Family Detached,High School,32500,Hot-Humid,U,1760,2211,2628,8028,20631,5428,1,0
2994,Single-Family Detached,Associate's,130000,"Very Cold/
Cold",R,6034,8201,299,19844,53846,1842,1,0
2995,Single-Family Detached,Some College,37500,"Very Cold/
Cold",U,2251,5719,774,10281,85138,4246,1,0
2996,Single-Family Detached,Bachlor's,57500,"Very Cold/
Cold",R,3343,7128,351,11495,79933,0,1,0
3000,Single-Family Detached,High School,110000,"Very Cold/
Cold",U,2870,8454,347,6232,38764,489,1,0
3001,Single-Family Detached,High School,67500,"Very Cold/
Cold",U,2250,8422,347,14291,52357,1745,1,0
3002,Single-Family Detached,Master's,110000,Mixed-Humid,U,4872,4882,1145,8970,59258,9279,1,0
3005,Single-Family Detached,High School,27500,Mixed-Humid,R,960,2798,2041,22534,12361,9091,1,0
3007,Single-Family Detached,Some College,72500,"Very Cold/
Cold",R,3309,8279,307,15687,27242,4959,1,0
3008,Single-Family Detached,Some College,97500,"Very Cold/
Cold",R,957,7737,345,19239,4197,448,1,0
3010,Single-Family Detached,Associate's,52500,Mixed-Humid,U,2094,4440,1253,6965,49659,3750,1,0
3011,Single-Family Detached,Professional,130000,"Very Cold/
Cold",U,1944,5675,657,8696,100855,2098,1,0
3013,Single-Family Detached,Associate's,32500,Mixed-Humid,U,825,5416,906,5938,7224,370,1,0
3014,Single-Family Detached,Some College,67500,"Very Cold/
Cold",U,2110,6326,616,10842,53144,1973,1,0
3016,Single-Family Attached,Bachlor's,130000,Mixed-Humid,U,2100,4259,1378,8794,47582,7245,1,0
3018,Single-Family Detached,Some College,77500,Marine,U,1775,2394,398,5541,29937,0,1,0
3019,Single-Family Attached,Bachlor's,3750,"Very Cold/
Cold",U,1986,7665,466,14790,15893,684,1,0
3021,Single-Family Detached,High School,47500,"Hot-Dry/
Mixed-Dry",U,3348,1664,2083,11045,24642,7560,1,1
3023,Single-Family Detached,Some College,1250,Hot-Humid,U,1299,2457,2025,20605,5812,9401,1,0
3025,Single-Family Detached,Bachlor's,130000,Hot-Humid,U,2862,610,3504,12101,2882,15358,0,1
3026,Single-Family Detached,High School,37500,Mixed-Humid,U,1735,5442,919,30084,22845,7064,1,0
3027,Mobile Home,High School,27500,"Very Cold/
Cold",R,824,6421,441,2436,82474,0,1,0
3028,Single-Family Detached,High School,57500,Mixed-Humid,R,2058,3784,1400,15978,46330,11307,1,0
3030,Single-Family Detached,Bachlor's,62500,"Very Cold/
Cold",U,2720,7596,559,7230,39925,911,1,0
3031,Single-Family Detached,Some College,110000,Mixed-Humid,R,3692,3446,1643,14618,42910,10710,1,0
3033,Single-Family Detached,Associate's,22500,Hot-Humid,U,1140,205,4361,11173,3413,8255,1,0
3034,Single-Family Detached,High School,42500,Mixed-Humid,R,3136,3039,1795,5337,23313,4184,1,0
3035,Single-Family Detached,High School,52500,Hot-Humid,R,2304,2032,2477,10809,3133,10209,1,0
3036,Single-Family Detached,High School,32500,Hot-Humid,U,1012,522,3818,11896,2476,11139,1,0
3037,Single-Family Detached,High School,130000,"Very Cold/
Cold",U,2064,7926,233,3532,159898,0,1,0
3038,Single-Family Detached,High School,87500,"Very Cold/
Cold",R,4275,6038,642,12911,49833,956,0,1
3039,Single-Family Detached,Master's,67500,Mixed-Humid,R,3008,3260,1666,15732,46999,13666,1,0
3040,Single-Family Attached,Some k-12,17500,Hot-Humid,U,575,1606,2683,3729,11985,1779,1,0
3041,Single-Family Detached,Some College,12500,"Very Cold/
Cold",R,1983,6576,582,7895,87586,1184,1,0
3042,Single-Family Attached,Bachlor's,27500,"Very Cold/
Cold",U,4267,7703,354,7615,91528,2076,1,0
3043,Single-Family Detached,High School,97500,Mixed-Humid,U,2177,5363,655,11902,79885,3374,0,1
3044,Single-Family Detached,Bachlor's,32500,Mixed-Humid,R,2208,1865,2571,14627,43665,14814,1,0
3045,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,3570,4455,1290,31100,17207,10090,2,0
3046,Single-Family Detached,Master's,47500,"Hot-Dry/
Mixed-Dry",U,1713,1522,2076,8165,15672,668,1,1
3048,Single-Family Detached,Doctorate,130000,"Very Cold/
Cold",U,6323,7771,446,23379,121999,8684,0,2
3050,Single-Family Detached,High School,110000,Marine,U,1947,5945,134,14615,1926,147,1,0
3051,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,3456,4558,1248,9830,47748,5560,1,0
3053,Single-Family Detached,Bachlor's,67500,"Very Cold/
Cold",U,2836,5714,935,12232,56049,7052,1,0
